		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  250  239  254  232  251  231  235  249  2.677046 0.952963 SUCCESS   0
000000011  266  264  246  227  243  235  240  262  6.742132 0.564693 SUCCESS   1
000000101  247  221  266  234  237  257  251  226  7.271716 0.507621 SUCCESS   2
000000111  257  237  241  233  227  239  235  226  4.581430 0.801232 SUCCESS   3
000001001  242  259  249  251  242  215  239  242  5.000860 0.757484 SUCCESS   4
000001011  254  244  262  239  234  252  249  236  2.955607 0.937112 SUCCESS   5
000001101  244  252  240  235  269  240  261  269  7.209225 0.514236 SUCCESS   6
000001111  241  229  220  252  246  224  256  245  6.070620 0.639322 SUCCESS   7
000010001  237  256  218  250  260  266  244  249  7.046113 0.531666 SUCCESS   8
000010011  240  264  265  253  269  229  259  238  8.612622 0.376020 SUCCESS   9
000010101  239  245  249  241  249  242  259  246  1.328726 0.995200 SUCCESS  10
000010111  245  248  240  244  235  229  244  229  2.430260 0.964904 SUCCESS  11
000011001  268  248  242  220  271  225  247  240  9.680263 0.288188 SUCCESS  12
000011011  226  269  231  264  245  241  258  250  7.423177 0.491737 SUCCESS  13
000011101  225  249  249  260  226  257  245  239  5.027339 0.754650 SUCCESS  14
000011111  226  248  230  262  232  244  232  269  7.521679 0.481529 SUCCESS  15
000100011  263  244  224  229  254  235  227  227  7.445419 0.489424 SUCCESS  16
000100101  249  256  208  249  231  231  238  246  7.961234 0.437266 SUCCESS  17
000100111  256  248  259  250  244  246  256  257  3.059406 0.930574 SUCCESS  18
000101001  202  261  237  262  212  234  244  237 15.315035 0.053302 SUCCESS  19
000101011  234  235  214  234  247  263  276  250 11.061418 0.198243 SUCCESS  20
000101101  231  255  257  225  248  244  218  241  6.479458 0.593687 SUCCESS  21
000101111  250  256  239  259  249  248  233  240  2.553124 0.959208 SUCCESS  22
000110011  282  251  232  230  285  228  237  225 17.690748 0.023668 SUCCESS  23
000110101  252  209  276  210  261  239  285  259 24.061642 0.002238 FAILURE  24
000110111  238  219  266  254  281  241  244  245 11.079423 0.197239 SUCCESS  25
000111001  239  278  244  245  256  243  232  251  6.402139 0.602282 SUCCESS  26
000111011  216  243  249  216  239  266  248  274 12.792098 0.119206 SUCCESS  27
000111101  246  226  242  265  209  233  267  237 11.455428 0.177205 SUCCESS  28
000111111  239  270  243  269  249  249  251  247  6.011306 0.645965 SUCCESS  29
001000011  216  246  240  253  250  252  273  255  8.214375 0.412815 SUCCESS  30
